"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s foi adicionado à sua lista de desejos. Clique <a href=""%2$s"">aqui</a> para continuar as suas compras"
"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s foi adicionado à sua lista de desejos. Clique <a href=""%2$s"">aqui</a> para continuar as suas compras."
"%1$s has been updated in your wishlist.","%1$s foi atualizado na sua lista de desejos."
"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s foi adicionada à sua Lista de Desejos. Clique <a href=""%2$s"">aqui</a> para continuar as compras"
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foram adicionados ao carrinho de compras: %s."
"%s for ""%s"".","%s por ""%s""."
"%s has been moved to wishlist %s","%s foi movido par a alista de desejos"
"%s's Wishlist","Lista de Desejos de %s"
"* Required Fields","* Campos obrigatórios"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Added From","Adicionado De"
"Added On","Adicionado em"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar o item à lista de desejos."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao adicionar o item à lista de desejos: %s."
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao remover o item da lista de desejos"
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao remover o item da lista de desejos: %s."
"An error occurred while updating wishlist.","Ocorreu um erro ao atualizar a Lista de Desejos."
"Are you sure you want to remove this product from your wishlist?","Tema a certeza que deseja remover este produto da sua Lista de Desejos?"
"Are you sure you would like to remove this item from the wishlist?","Tem a certeza que deseja remover este item da Lista de Desejos?"
"Are You sure?","Tem a certeza?"
"Back","Voltar"
"Can't save description %s","Não foi possível guardar a descrição %s"
"Cannot add item to shopping cart","Não foi possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não foi possível adicionar o item ao carrinho de compras."
"Cannot configure product","Não foi possível configurar o produto"
"Cannot create wishlist","Não foi possível criar a Lista de Desejos"
"Cannot create wishlist.","Não foi possível criar a lista de Desejos."
"Cannot load wishlist item","Não foi possível carregar item da lista de Desejos."
"Cannot move item to wishlist","Não foi possível mover o item para a lista de presentes"
"Cannot specify product","Não foi possível especificar o produto"
"Cannot specify product.","Não foi possível especificar o produto."
"Cannot specify wishlist item.","Não foi possível especificar item da lista de desejos"
"Cannot specify wishlist.","Não foi possível especificar a lista de desejos."
"Cannot update wishlist","Não foi possível atualizar a lista de Desejos."
"Can't delete item from wishlist","Não foi possível remover o item da lista de desejos."
"Can't save description %s","Não foi possível guardar a descrição %s"
"Can't update wishlist","Não foi possível atualizar a lista de Desejos"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Selecione esta caixa se deseja adicionar uma ligação a um feed rss para a sua lista de desejos"
"Click for price","Clique para preço"
"Comment","Comentar"
"Comment:","Comentário:"
"Configure Wishlist Item","Configurar Item da Lista de Desejos."
"Configured Price:","Preço Configurado:"
"Could not find wishlist","Não foi possível encontrar a lista de desejos"
"Customer My Account My Wishlist","Cliente A Minha Conta A Minha Lista de Desejos"
"Customer My Account Wishlist Sharing Form","Cliente A Minha Conta Vista Partilha da Lista de Desejos"
"Customer Shared Wishlist View","Cliente Vista Partilha da Lista de Desejos"
"Date Added","Data Adição"
"Days in Wishlist","Dias na Lista de Desejos"
"Display Wishlist Summary","Sumário da Lista de Desejos"
"Edit","Editar"
"Email address can't be empty.","O endereço de email não pode ficar em branco."
"Email address can't be empty.","O endereço de email não pode ficar em branco."
"Email addresses, separated by commas","Endereços de email separados por vírgulas"
"Email Sender","Remetente Email"
"Email Template","Template Email"
"Enabled","Ativo"
"General Options","Opções Gerais"
"Go to Wishlist","Ir para Lista de Desejos"
"Helper for wishlist options rendering doesn't implement required interface.","O Helper para as opções da lista de desejos não implementa a interface obrigatória."
"In stock","Disponível"
"Last Added Items","Últimos itens adicionados"
"Message","Mensagem"
"My Wishlist","A Minha Lista de Desejos"
"My Wishlist (%d item)","A minha Lista de Desejos (%d item)"
"My Wishlist (%d items)","A minha Lista de Desejos (%d itens)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","A Minha Lista de Desejos - <a href=""%s"">%d Item(ns)</a>"
"My Wishlist <small>(%d)</small>","A Minha Lista de Desejos <smal>(%d)</smal>"
"My Wishlist Link","A minha Ligação da Lista de Desejos"
"Options Details","Detalhes de Opções"
"Out of stock","Indisponível"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor insira endereços de email válidos separados por vírgulas. Ex: eu@exemplo.pt, tu@exemplo.pt"
"Please enter your comments...","Por favor insira os seus comentários..."
"Please input a valid email address.","Por favor insira um endereço de email válido."
"Please, enter your comments...","Por favor insira o seus comentários"
"Product","Produto"
"Product Details and Comment","Detalhes e Comentários do Produto"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","Produto(s) Agrupados. Apenas os pode adicionar ao carrinho separadamente."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto(s) com opções obrigatórias. Apenas os pode adicionar ao carrinho separadamente."
"Quantity","Quantidade"
"Remove Item","Remover item"
"Remove This Item","Remover Este Item"
"Requested cart item doesn't exist","O item do carrinho pedido não existe"
"Requested wishlist doesn't exist","Lista de desejos pedida não existe"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Ligação RSS para Lista de Desejos de %s"
"Share Options","Opções de partilha"
"Share Wishlist","Partilhar Lista de Desejos"
"Share Your Wishlist","Partilhar a sua Lista de Desejos"
"Sharing Information","Informação de Partilha"
"There was an error while adding item to wishlist.","Ocorreu um erro ao adicionar o item da Lista de Desejos."
"There was an error while adding item to wishlist: %s","Ocorreu um erro ao adicionar o item à sua lista de desejos: %s"
"There was an error while deleting item from wishlist.","Ocorreu um erro ao remover o item da Lista de desejos."
"There was an error while deleting item from wishlist: %s","Ocorreu um erro ao remover este item da lista de desejos: %s"
"This product(s) is currently out of stock","Este produto(s) está atualmente indisponível"
"This product(s) is currently out of stock:","Este(s) produto(s) estão atualmente indisponíveis"
"This Wishlist has no Items","Esta lista de desejos não tem itens"
"Unable to add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produtos ao carrinho de compras: %s."
"Update Wishlist","Atualizar Lista de Desejos"
"User description","Descrição Utilizador"
"View Details","Ver Detalhes"
"View Product","Ver Produto"
"Visible In","Visível Em"
"What's this?","O que é isto?"
"Wishlist","Lista de Desejos"
"Wishlist could not be created.","Lista de Desejos não pode ser criada."
"Wishlist is empty now.","Lista de Desejos Vazia"
"Wishlist Section","Secção da Lista de Desejos"
"Wishlist Sharing","Partilha da Lista de Desejos"
"You have no items in your wishlist.","Não tem itens na sua Lista de Desejos"
"You input not valid email address.","Não inseriu um endereço de email válido"
"Your Wishlist has been shared.","A sua lista de desejos foi partilhada"
"Your Wishlist was successfully shared","A sua Lista de Desejos foi corretamente partilhada"
